deflection,time
29.3,1606108762.959284
29.4,1606108763.179284
29.3,1606108764.977284
29.5,1606108765.198284
29.6,1606108765.420284
29.3,1606108765.640284
29.4,1606108765.861284
29.5,1606108768.519284
29.3,1606108768.740284
29.5,1606108769.181284
29.3,1606108770.538284
29.6,1606108772.083284
29.4,1606108772.304284
29.5,1606108773.657284
29.2,1606108774.318284
29.5,1606108775.014284
29.3,1606108775.456284
29.5,1606108777.031284
29.4,1606108778.139284
29.5,1606108778.613284
29.2,1606108778.835284
29.5,1606108779.055284
29.3,1606108779.275284
29.5,1606108779.495284
29.3,1606108780.377284
29.6,1606108780.954284
29.3,1606108781.173284
29.4,1606108781.614284
29.6,1606108784.519284
29.4,1606108784.769284
29.5,1606108786.094284
29.3,1606108786.535284
29.5,1606108787.006284
29.4,1606108787.227284
29.5,1606108788.332284
29.2,1606108789.025284
29.5,1606108789.246284
29.6,1606108789.468284
29.5,1606108789.688284
29.3,1606108790.129284
29.5,1606108790.350284
29.4,1606108790.571284
29.3,1606108791.706284
29.4,1606108791.927284
29.3,1606108793.060284
29.5,1606108793.280284
29.4,1606108793.943284
29.5,1606108794.856284
29.4,1606108795.075284
29.3,1606108795.296284
29.5,1606108795.738284
29.3,1606108796.618284
29.4,1606108796.869284
29.5,1606108797.975284
29.3,1606108798.888284
29.5,1606108799.109284
29.4,1606108799.329284
29.6,1606108799.992284
29.4,1606108800.655284
29.3,1606108800.906284
29.5,1606108801.127284
29.3,1606108801.347284
29.5,1606108801.787284
29.3,1606108802.007284
29.4,1606108802.449284
29.3,1606108803.139284
29.5,1606108803.580284
29.3,1606108804.242284
29.5,1606108804.462284
29.3,1606108806.260284
29.5,1606108806.703284
29.4,1606108807.420284
29.3,1606108809.085284
29.4,1606108809.525284
29.5,1606108809.965284
29.2,1606108810.404284
29.5,1606108810.625284
29.3,1606108811.538284
29.5,1606108811.758284
29.3,1606108811.978284
29.6,1606108813.114284
29.4,1606108813.333284
29.5,1606108813.775284
29.3,1606108813.994284
29.6,1606108814.437284
29.5,1606108814.658284
29.3,1606108814.879284
29.5,1606108815.180284
29.3,1606108815.400284
29.4,1606108815.841284
29.5,1606108819.816284
29.5,1606108819.816284
29.5,1606108819.816284
29.3,1606108820.036284
29.5,1606108820.256284
29.4,1606108821.610284
29.5,1606108822.490284
29.3,1606108822.711284
29.5,1606108823.625284
29.3,1606108823.844284
29.5,1606108824.946284
29.3,1606108825.636284
29.5,1606108825.856284
29.2,1606108827.179284
29.4,1606108827.987284
29.5,1606108828.206284
29.4,1606108828.864284
29.5,1606108829.777284
29.3,1606108830.656284
29.6,1606108831.099284
29.5,1606108831.321284
29.3,1606108831.569284
29.5,1606108831.790284
29.3,1606108833.116284
29.6,1606108833.864284
