sensors,temperature,humidity,count,time
"-273,-273,-273,-273,24.9,23.2,22.5,21.7",21,32,0,1606150931.505332
"-273,-273,-273,-273,24.9,23.2,22.5,21.6",21,32,0,1606150950.065352
"-273,-273,-273,-273,24.9,23.2,22.5,21.6",21,32,0,1606150968.625341
"-273,-273,-273,-273,24.9,23.2,22.5,21.6",20,33,0,1606150987.185342
"-273,-273,-273,-273,24.9,23.2,22.5,21.6",20,33,0,1606151005.74591
"-273,-273,-273,-273,24.9,23.2,22.6,21.6",20,33,0,1606151024.30543
"-273,-273,-273,-273,24.9,23.2,22.6,21.6",21,32,0,1606151042.945065
"-273,-273,-273,-273,24.9,23.2,22.6,21.6",0,33,0,1606151061.505358
"-273,-273,-273,-273,24.9,23.2,22.6,21.6",21,32,0,1606151080.065341
"-273,-273,-273,-273,24.9,23.2,22.7,21.6",21,32,0,1606151117.265475
"-273,-273,-273,-273,25,23.2,22.7,21.6",21,32,0,1606151135.824994
"-273,-273,-273,-273,25,23.2,22.8,21.6",0,32,0,1606151154.385346
"-273,-273,-273,-273,25,23.2,22.8,21.6",21,32,0,1606151172.94534
"-273,-273,-273,-273,25,23.2,22.8,21.6",21,32,0,1606151191.505452
"-273,-273,-273,-273,25,23.2,22.8,21.6",21,32,0,1606151191.505452
"-273,-273,-273,-273,25,23.2,22.8,21.6",21,32,0,1606151210.145337
"-273,-273,-273,-273,25,23.2,22.8,21.6",0,33,0,1606151228.785345
"-273,-273,-273,-273,25.1,23.2,22.8,21.6",0,33,0,1606151247.345341
"-273,-273,-273,-273,25.1,23.2,22.8,21.6",0,33,0,1606151265.905418
"-273,-273,-273,-273,25.1,23.2,22.9,21.6",20,33,0,1606151284.465339
"-273,-273,-273,-273,25.1,23.2,22.9,21.6",20,33,0,1606151303.025349
"-273,-273,-273,-273,25.1,23.2,22.9,21.6",20,33,0,1606151321.585354
"-273,-273,-273,-273,25.1,23.2,22.9,21.6",20,33,0,1606151340.145573
"-273,-273,-273,-273,25.1,23.2,22.9,21.6",20,33,0,1606151358.705408
"-273,-273,-273,-273,25.1,23.2,22.9,21.6",20,33,0,1606151377.265406
"-273,-273,-273,-273,25.1,23.2,23,21.6",20,33,0,1606151395.825357
"-273,-273,-273,-273,25.1,23.2,23,21.6",20,33,0,1606151414.385359
"-273,-273,-273,-273,25.1,23.2,23,21.6",0,33,0,1606151432.945358
"-273,-273,-273,-273,25.1,23.2,23.1,21.6",20,33,0,1606151451.505376
"-273,-273,-273,-273,25.1,23.1,23.1,21.6",21,32,0,1606151470.065488
"-273,-273,-273,-273,25.1,23.1,23.1,21.6",21,32,0,1606151488.625403
"-273,-273,-273,-273,25.1,23.1,23.1,21.6",21,32,0,1606151507.185352
"-273,-273,-273,-273,25.1,23.1,23.1,21.6",21,32,0,1606151525.825418
"-273,-273,-273,-273,25.1,23.1,23.2,21.6",21,32,0,1606151544.385481
"-273,-273,-273,-273,25.1,23.1,23.2,21.6",21,32,0,1606151562.945884
"-273,-273,-273,-273,25.1,23.1,23.2,21.6",21,32,0,1606151581.505408
"-273,-273,-273,-273,25.1,23.1,23.2,21.6",21,32,0,1606151600.065336
"-273,-273,-273,-273,25.1,23.1,23.2,21.6",23,33,0,1606151618.625797
"-273,-273,-273,-273,25.1,23.1,23.3,21.6",22,33,0,1606151637.185394
"-273,-273,-273,-273,25.1,23.1,23.3,21.6",22,32,0,1606151655.745487
"-273,-273,-273,-273,25.2,23.1,23.4,21.6",0,32,0,1606151674.305418
"-273,-273,-273,-273,25.2,23.1,23.4,21.6",22,32,0,1606151692.865348
"-273,-273,-273,-273,25.2,23.1,23.4,21.6",22,32,0,1606151711.425345
"-273,-273,-273,-273,25.2,23.1,23.4,21.6",22,32,0,1606151729.985343
"-273,-273,-273,-273,25.2,23.1,23.4,21.6",0,32,0,1606151748.545957
"-273,-273,-273,-273,25.2,23.1,23.5,21.6",22,32,0,1606151767.105451
"-273,-273,-273,-273,25.2,23.1,23.5,21.6",22,32,0,1606151785.665348
"-273,-273,-273,-273,25.2,23.1,23.5,21.6",22,32,0,1606151804.225432
"-273,-273,-273,-273,25.2,23.1,23.6,21.6",22,32,0,1606151822.785345
"-273,-273,-273,-273,25.2,23.1,23.6,21.6",21,32,0,1606151841.345336
"-273,-273,-273,-273,25.2,23.1,23.6,21.6",21,32,0,1606151859.905346
"-273,-273,-273,-273,25.2,23.1,23.6,21.6",0,32,0,1606151878.465356
"-273,-273,-273,-273,25.2,23.1,23.6,21.6",21,32,0,1606151897.02557
"-273,-273,-273,-273,25.2,23.1,23.6,21.6",0,32,0,1606151915.585323
"-273,-273,-273,-273,25.2,23.1,23.7,21.6",21,32,0,1606151934.14557
"-273,-273,-273,-273,25.2,23.1,23.7,21.6",21,32,0,1606151952.705361
"-273,-273,-273,-273,25.2,23.1,23.7,21.6",21,32,0,1606151971.26536
"-273,-273,-273,-273,25.2,23,23.7,21.6",0,32,0,1606151989.825613
"-273,-273,-273,-273,25.2,23,23.7,21.6",21,32,0,1606152008.385709
"-273,-273,-273,-273,25.2,23,23.7,21.6",21,32,0,1606152026.945364
"-273,-273,-273,-273,25.3,23,23.7,21.6",21,32,0,1606152045.505567
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152064.065335
"-273,-273,-273,-273,25.3,23,23.8,21.6",21,32,0,1606152082.625396
