name,time,filled,hum,location,mag,pressure,temp,x_axis,y_axis,z_axis
unit_3,1573015425014720000,7,29,car,,30357.099609,26,,,
unit_3,1573015435038712000,7,35,car,,30842.130859,26,,,
unit_3,1573015445062588000,7,35,car,,30842.130859,26,,,
unit_3,1573015452089688000,,,car,0.252982,,,0.08,0,0.24
unit_3,1573015452093728000,,,car,0.252982,,,0.08,0,0.24
unit_3,1573015452098848000,,,car,0.252982,,,0.08,0,0.24
unit_3,1573015452103968000,,,car,0.252982,,,0.08,0,0.24
unit_3,1573015452109088000,,,car,0.252982,,,0.08,0,0.24
unit_3,1573015452114168000,,,car,0.24,,,0,0,0.24
unit_3,1573015452119328000,,,car,0.32,,,0,0,0.32
unit_3,1573015452124464000,,,car,0.974526,,,0.56,0.69,0.4
unit_3,1573015452129604000,,,car,1.022595,,,0.64,0.69,0.4
unit_3,1573015452133748000,,,car,0.392428,,,0.24,0.3,0.08
unit_3,1573015452138784000,,,car,0.327567,,,0,0.07,0.32
unit_3,1573015452143904000,,,car,0.329848,,,0.08,0,0.32
unit_3,1573015452149024000,,,car,0.329848,,,0.08,0,0.32
unit_3,1573015452154144000,,,car,0.252982,,,0.08,0,0.24
unit_3,1573015452159256000,,,car,0.288444,,,0.16,0,0.24
unit_3,1573015452164364000,,,car,0.226274,,,0.16,0,0.16
unit_3,1573015452169568000,,,car,0.288444,,,0.16,0,0.24
unit_3,1573015452174708000,,,car,1.01,,,0.48,0.69,0.56
unit_3,1573015452178772000,,,car,2.299304,,,1.68,1.3,0.88
unit_3,1573015452183904000,,,car,1.205985,,,0.72,0.84,0.48
unit_3,1573015452189168000,,,car,5.370773,,,0.16,0.3,5.36
unit_3,1573015452194956000,,,car,0.755844,,,0,0.23,0.72
unit_3,1573015452199284000,,,car,0.612209,,,0,0.38,0.48
unit_3,1573015452204348000,,,car,0.693109,,,0.4,0.3,0.48
unit_3,1573015452209452000,,,car,0.219317,,,0.16,0.15,0
unit_3,1573015452214560000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452218688000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452223796000,,,car,1.140219,,,0.64,0.61,0.72
unit_3,1573015452228924000,,,car,1.24936,,,0.8,0.53,0.8
unit_3,1573015452267076000,,,car,0.106301,,,0.08,0.07,0
unit_3,1573015452271924000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452277000000,,,car,0,,,0,0,0
unit_3,1573015452282224000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452287272000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452292416000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452297560000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452302648000,,,car,0.133041,,,0.08,0.07,0.08
unit_3,1573015452306776000,,,car,0.133041,,,0.08,0.07,0.08
unit_3,1573015452311832000,,,car,0.113137,,,0.08,0,0.08
unit_3,1573015452319384000,,,car,0.325115,,,0.24,0.15,0.16
unit_3,1573015455086516000,7,35,car,,30842.130859,26,,,
unit_3,1573015465109996000,7,35,car,,30360.529297,26,,,
unit_3,1573015475133432000,7,35,car,,30842.130859,26,,,
unit_3,1573015485157352000,7,35,car,,30842.130859,26,,,
unit_3,1573015488566568000,,,car,0.368917,,,0.24,0.23,0.16
unit_3,1573015488570716000,,,car,0.466905,,,0.32,0.3,0.16
unit_3,1573015488575860000,,,car,0.133041,,,0.08,0.07,0.08
unit_3,1573015488580856000,,,car,0.16,,,0,0,0.16
unit_3,1573015488586024000,,,car,0.16,,,0,0,0.16
unit_3,1573015488591104000,,,car,0.16,,,0,0,0.16
unit_3,1573015488596272000,,,car,0.16,,,0,0,0.16
unit_3,1573015488601352000,,,car,0.16,,,0,0,0.16
unit_3,1573015488606520000,,,car,0.24,,,0,0,0.24
unit_3,1573015488611600000,,,car,0.24,,,0,0,0.24
unit_3,1573015488615744000,,,car,0.655134,,,0.4,0.46,0.24
unit_3,1573015488620880000,,,car,1.307823,,,0.88,0.84,0.48
unit_3,1573015488626020000,,,car,0.44587,,,0.32,0.3,0.08
unit_3,1573015488631076000,,,car,0.362353,,,0.08,0.15,0.32
unit_3,1573015488636200000,,,car,0.406079,,,0,0.07,0.4
unit_3,1573015488641280000,,,car,0.48,,,0,0,0.48
unit_3,1573015488646480000,,,car,0.486621,,,0.08,0,0.48
unit_3,1573015488651600000,,,car,0.486621,,,0.08,0,0.48
