name,time,filled,hum,location,mag,pressure,temp,x_axis,y_axis,z_axis
unit_3,1573507368327968000,,,car,1.21,,,0.16,0,1.2
unit_3,1573507368328568000,,,car,0.24,,,0.08,0.23,0
unit_3,1573507368329204000,,,car,0.82,,,0.08,0.15,0.8
unit_3,1573507368329848000,,,car,0.57,,,0.08,0.07,0.56
unit_3,1573507368330480000,,,car,0.47,,,0.24,0.07,0.4
unit_3,1573507368331112000,,,car,0.7,,,0.16,0.23,0.64
unit_3,1573507368331744000,,,car,0.74,,,0.32,0.46,0.48
unit_3,1573507368332384000,,,car,1.35,,,0.32,0.53,1.2
unit_3,1573507368333028000,,,car,2.84,,,0.72,0.76,2.64
unit_3,1573507368333664000,,,car,2.68,,,0.96,0.69,2.4
unit_3,1573507368334296000,,,car,1.06,,,0.72,0.61,0.48
unit_3,1573507368334936000,,,car,0.87,,,0.56,0.53,0.4
unit_3,1573507368335572000,,,car,1.49,,,0.08,0.38,1.44
unit_3,1573507375290872000,7,39,car,,108.5,23,,,
unit_3,1573507385314072000,7,39,car,,108.5,23,,,
unit_3,1573507395337884000,7,39,car,,108.5,23,,,
unit_3,1573507405361912000,7,39,car,,107.269997,23,,,
unit_3,1573507415384912000,7,39,car,,108.5,23,,,
unit_3,1573507425406780000,7,39,car,,107.889999,23,,,
unit_3,1573507435428672000,7,39,car,,107.279999,23,,,
unit_3,1573507445451516000,7,39,car,,108.510002,23,,,
unit_3,1573507455474660000,7,39,car,,107.900002,23,,,
unit_3,1573507465498384000,7,39,car,,108.519997,23,,,
unit_3,1573507475521448000,7,39,car,,107.910004,23,,,
unit_3,1573507485545240000,7,39,car,,107.910004,23,,,
unit_3,1573507495568228000,7,39,car,,107.290001,23,,,
unit_3,1573507505592084000,7,39,car,,107.900002,23,,,
unit_3,1573507515616024000,7,39,car,,108.519997,23,,,
unit_3,1573507525639984000,7,39,car,,107.910004,23,,,
unit_3,1573507535663140000,7,39,car,,108.529999,23,,,
unit_3,1573507545684832000,7,39,car,,107.910004,23,,,
unit_3,1573507555706500000,7,39,car,,107.910004,23,,,
unit_3,1573507565729572000,7,39,car,,108.510002,23,,,
unit_3,1573507575752428000,7,39,car,,108.519997,23,,,
unit_3,1573507585776412000,7,39,car,,108.519997,23,,,
unit_3,1573507595799600000,7,39,car,,107.900002,23,,,
unit_3,1573507605822172000,7,39,car,,108.519997,23,,,
unit_3,1573507615845304000,7,39,car,,108.529999,23,,,
unit_3,1573507625867940000,7,39,car,,107.910004,23,,,
unit_3,1573507635891036000,7,39,car,,108.519997,23,,,
unit_3,1573507645913556000,7,39,car,,108.510002,23,,,
unit_3,1573507655935600000,7,39,car,,108.519997,23,,,
unit_3,1573507665957528000,7,39,car,,107.900002,23,,,
unit_3,1573507675980284000,7,39,car,,108.519997,23,,,
unit_3,1573507686003260000,7,39,car,,107.279999,23,,,
unit_3,1573507696026452000,7,39,car,,107.900002,23,,,
unit_3,1573507706050148000,7,39,car,,107.900002,23,,,
unit_3,1573507716072856000,7,39,car,,106.660004,23,,,
unit_3,1573507726094676000,7,39,car,,108.510002,23,,,
unit_3,1573507736117796000,7,39,car,,108.510002,23,,,
unit_3,1573507746141764000,7,39,car,,108.510002,23,,,
unit_3,1573507756165792000,7,39,car,,108.510002,23,,,
unit_3,1573507766189820000,7,38,car,,108.510002,23,,,
unit_3,1573507776211932000,7,38,car,,107.889999,23,,,
unit_3,1573507786234620000,7,38,car,,107.279999,23,,,
unit_3,1573507796257296000,7,38,car,,108.510002,23,,,
unit_3,1573507806279608000,7,38,car,,107.889999,23,,,
unit_3,1573507816301980000,7,38,car,,107.889999,23,,,
unit_3,1573507826325064000,7,38,car,,108.510002,23,,,
unit_3,1573507836347900000,7,38,car,,107.269997,23,,,
